ID;NAZWA;w7;w8;z7;z8;r7;r8
2007000;Powiat łomżyński;36;40;9;8;43;44
2008000;Powiat moniecki;33;33;9;5;36;41
2009000;Powiat sejneński;14;8;2;1;17;8
2010000;Powiat siemiatycki;28;36;7;4;38;55
2011000;Powiat sokólski;37;36;7;9;51;44
2012000;Powiat suwalski;29;20;9;4;34;27
2013000;Powiat wysokomazowiecki;39;33;10;8;36;33
2014000;Powiat zambrowski;23;26;12;5;17;22
2061000;Powiat m.Białystok;163;158;3;6;177;185
2062000;Powiat m.Łomża;19;23;0;1;22;25
2063000;Powiat m.Suwałki;33;19;1;2;39;20
2200000;POMORSKIE;2608;2504;134;146;3253;3098
2201000;Powiat bytowski;94;80;9;13;110;81
2202000;Powiat chojnicki;103;128;11;3;142;181
2203000;Powiat człuchowski;103;100;3;12;144;135
2204000;Powiat gdański;186;194;6;8;245;262
2205000;Powiat kartuski;226;198;16;16;302;234
2206000;Powiat kościerski;143;137;4;8;209;201
2207000;Powiat kwidzyński;105;93;7;2;133;123
2208000;Powiat lęborski;28;22;4;4;27;25
2209000;Powiat malborski;101;82;5;6;138;92
2210000;Powiat nowodworski;31;13;3;1;37;22
2211000;Powiat pucki;83;61;4;5;92;75
2212000;Powiat słupski;78;76;8;11;101;85
2213000;Powiat starogardzki;141;143;5;7;186;183
2214000;Powiat tczewski;168;145;9;9;207;187
2215000;Powiat wejherowski;171;147;13;13;191;163
2216000;Powiat sztumski;35;45;7;2;40;67
2261000;Powiat m.Gdańsk;521;552;13;11;616;653
2262000;Powiat m.Gdynia;184;169;6;9;207;194
2263000;Powiat m.Słupsk;75;90;1;6;93;94
2264000;Powiat m.Sopot;32;29;0;0;33;41
2400000;ŚLĄSKIE;3502;3222;246;219;4307;3783
2401000;Powiat będziński;62;87;9;17;87;89
2402000;Powiat bielski;97;59;6;4;123;74
2403000;Powiat cieszyński;178;181;14;8;223;219
2404000;Powiat częstochowski;237;230;15;24;330;309
2405000;Powiat gliwicki;82;63;12;12;93;60
2406000;Powiat kłobucki;44;47;10;7;52;55
2407000;Powiat lubliniecki;27;37;8;3;39;47
2408000;Powiat mikołowski;53;52;7;2;61;58
2409000;Powiat myszkowski;88;88;10;8;111;106
2410000;Powiat pszczyński;71;59;11;11;91;61
2411000;Powiat raciborski;61;51;5;8;66;60
2412000;Powiat rybnicki;36;42;2;7;43;45
2413000;Powiat tarnogórski;172;156;11;12;238;189
2414000;Powiat bieruńsko-lędziński;47;38;10;6;60;40
2415000;Powiat wodzisławski;67;64;4;6;73;66
2416000;Powiat zawierciański;111;105;9;12;131;127
2417000;Powiat żywiecki;121;93;10;3;150;136
2461000;Powiat m.Bielsko-Biała;102;88;8;5;119;96
2462000;Powiat m.Bytom;109;99;4;5;123;119
2463000;Powiat m.Chorzów;28;24;2;4;31;25
2464000;Powiat m.Częstochowa;378;327;10;10;466;397
2465000;Powiat m.Dąbrowa Górnicza;95;88;5;4;108;103
2466000;Powiat m.Gliwice;104;105;12;5;120;114
2467000;Powiat m.Jastrzębie-Zdrój;80;57;4;0;96;73
2468000;Powiat m.Jaworzno;36;29;0;5;47;42
2469000;Powiat m.Katowice;254;252;11;4;340;294
2470000;Powiat m.Mysłowice;46;47;1;3;55;51
2471000;Powiat m.Piekary Śląskie;34;37;3;2;44;39
2472000;Powiat m.Ruda Śląska;121;125;2;2;151;146
2473000;Powiat m.Rybnik;62;54;3;1;71;59
2474000;Powiat m.Siemianowice Śląskie;32;25;0;1;36;26
2475000;Powiat m.Sosnowiec;190;162;12;6;219;181
2476000;Powiat m.Świętochłowice;34;25;1;0;43;26
2477000;Powiat m.Tychy;49;46;9;6;46;45
2478000;Powiat m.Zabrze;162;152;4;5;185;172
2479000;Powiat m.Żory;32;28;2;1;36;34
2600000;ŚWIĘTOKRZYSKIE;1235;1201;115;127;1529;1450
2601000;Powiat buski;42;33;7;8;53;30
2602000;Powiat jędrzejowski;101;113;6;10;138;137
2603000;Powiat kazimierski;23;24;3;3;34;33
2604000;Powiat kielecki;316;291;38;32;413;376
2605000;Powiat konecki;65;65;7;15;74;78
2606000;Powiat opatowski;45;65;6;10;53;81
2607000;Powiat ostrowiecki;49;45;5;7;48;41
2608000;Powiat pińczowski;34;33;11;5;35;37
2609000;Powiat sandomierski;79;77;5;9;108;108
2610000;Powiat skarżyski;74;42;7;3;91;56
2611000;Powiat starachowicki;72;76;6;14;76;79
2612000;Powiat staszowski;44;45;5;3;47;47
2613000;Powiat włoszczowski;35;36;4;5;41;40
2661000;Powiat m.Kielce;256;256;5;3;318;307
2800000;WARMIŃSKO-MAZURSKIE;1455;1281;118;140;1734;1506
2801000;Powiat bartoszycki;41;40;4;6;47;41
2802000;Powiat braniewski;45;42;5;8;60;72
2803000;Powiat działdowski;51;34;5;10;64;32
2804000;Powiat elbląski;62;61;7;8;91;75
2805000;Powiat ełcki;100;81;2;5;128;90
2806000;Powiat giżycki;34;32;3;4;37;39
2807000;Powiat iławski;91;83;9;10;100;90
2808000;Powiat kętrzyński;37;29;5;6;37;27
2809000;Powiat lidzbarski;20;22;5;4;18;21
2810000;Powiat mrągowski;48;27;5;5;56;29
2811000;Powiat nidzicki;19;15;2;4;28;21
2812000;Powiat nowomiejski;41;21;3;4;41;21
2813000;Powiat olecki;25;41;5;5;30;46
2814000;Powiat olsztyński;231;203;25;24;301;260
2815000;Powiat ostródzki;91;74;6;16;112;96
2816000;Powiat piski;43;41;6;3;53;47
2817000;Powiat szczycieński;83;60;6;6;99;71
2818000;Powiat gołdapski;22;25;2;3;25;31
2819000;Powiat węgorzewski;18;19;1;2;19;27
2861000;Powiat m.Elbląg;96;75;8;3;105;83
2862000;Powiat m.Olsztyn;257;256;4;4;283;287
3000000;WIELKOPOLSKIE;3122;3232;294;261;3594;3766
3001000;Powiat chodzieski;33;31;6;4;38;33
3002000;Powiat czarnkowsko-trzcianecki;48;51;4;7;53;55
3003000;Powiat gnieźnieński;93;127;10;10;103;147
3004000;Powiat gostyński;45;43;3;3;49;47
3005000;Powiat grodziski;21;19;3;4;20;19
3006000;Powiat jarociński;31;38;6;9;32;43
3007000;Powiat kaliski;65;64;12;10;76;81
3008000;Powiat kępiński;23;24;4;6;22;22
3009000;Powiat kolski;40;33;3;3;40;33
3010000;Powiat koniński;56;87;16;8;59;114
3011000;Powiat kościański;105;100;7;9;117;132
3012000;Powiat krotoszyński;33;32;9;3;27;30
3013000;Powiat leszczyński;94;125;2;6;120;162
3014000;Powiat międzychodzki;30;27;2;5;36;26
3015000;Powiat nowotomyski;68;69;9;8;75;69
3016000;Powiat obornicki;27;38;8;4;25;45
3017000;Powiat ostrowski;81;106;16;12;87;129
3018000;Powiat ostrzeszowski;36;36;16;7;27;38
3019000;Powiat pilski;56;50;12;12;66;56
3020000;Powiat pleszewski;76;59;3;11;93;62
3021000;Powiat poznański;535;503;25;22;684;655
3022000;Powiat rawicki;40;64;2;5;53;72
3023000;Powiat słupecki;52;53;3;3;62;57
3024000;Powiat szamotulski;49;51;20;12;56;50
3025000;Powiat średzki;68;65;14;8;75;84
3026000;Powiat śremski;37;42;6;3;34;51
3027000;Powiat turecki;34;20;11;11;36;18
3028000;Powiat wągrowiecki;42;45;7;2;42;47
3029000;Powiat wolsztyński;26;29;7;1;23;29
3030000;Powiat wrzesiński;55;43;7;11;65;48
3031000;Powiat złotowski;39;39;11;7;39;38
3061000;Powiat m.Kalisz;50;88;5;5;48;95
3062000;Powiat m.Konin;41;64;4;3;51;68
3063000;Powiat m.Leszno;97;101;1;1;112;110
3064000;Powiat m.Poznań;896;866;20;26;1049;1001
3200000;ZACHODNIOPOMORSKIE;1232;1182;120;129;1435;1357
3201000;Powiat białogardzki;23;19;2;6;28;17
3202000;Powiat choszczeński;18;22;3;2;21;29
3203000;Powiat drawski;36;36;1;6;41;41
3204000;Powiat goleniowski;43;71;7;14;52;81
3205000;Powiat gryficki;34;32;7;7;36;42
3206000;Powiat gryfiński;27;29;6;7;33;53
3207000;Powiat kamieński;37;42;3;6;57;52
3208000;Powiat kołobrzeski;98;77;16;13;114;84
3209000;Powiat koszaliński;30;28;9;6;42;32
3210000;Powiat myśliborski;44;40;10;7;62;55
3211000;Powiat policki;21;27;2;2;20;30
3212000;Powiat pyrzycki;18;16;3;3;22;15
3213000;Powiat sławieński;27;29;7;10;32;36
3214000;Powiat stargardzki;57;63;9;9;62;63
3215000;Powiat szczecinecki;41;56;6;6;42;65
3216000;Powiat świdwiński;16;20;2;0;25;21
3217000;Powiat wałecki;46;44;7;4;49;46
3218000;Powiat łobeski;16;23;2;5;16;23
3261000;Powiat m.Koszalin;30;25;3;1;27;27
3262000;Powiat m.Szczecin;514;438;10;12;593;494
3263000;Powiat m.Świnoujście;56;45;5;3;61;51
